Minimum Distance, Coding Counts, Pseudo Counts, Total Counts
0, 473, 476, 949
1, 473, 474, 947
2, 473, 472, 945
3, 436, 470, 906
4, 436, 467, 903
5, 436, 461, 897
6, 426, 454, 880
7, 426, 453, 879
8, 426, 448, 874
9, 419, 446, 865
10, 419, 441, 860
11, 419, 438, 857
12, 408, 431, 839
13, 408, 428, 836
14, 408, 420, 828
15, 401, 417, 818
16, 401, 410, 811
17, 401, 407, 808
18, 395, 402, 797
19, 395, 397, 792
20, 395, 392, 787
21, 385, 390, 775
22, 385, 386, 771
23, 385, 382, 767
24, 381, 378, 759
25, 381, 374, 755
26, 381, 371, 752
27, 368, 367, 735
28, 368, 365, 733
29, 368, 362, 730
30, 357, 358, 715
31, 357, 354, 711
32, 357, 351, 708
33, 356, 348, 704
34, 356, 342, 698
35, 356, 339, 695
36, 354, 337, 691
37, 354, 336, 690
38, 354, 333, 687
39, 341, 331, 672
40, 341, 329, 670
41, 341, 328, 669
42, 333, 327, 660
43, 333, 324, 657
44, 333, 323, 656
45, 328, 323, 651
46, 327, 322, 649
47, 327, 318, 645
48, 325, 317, 642
49, 325, 312, 637
50, 325, 310, 635
51, 320, 309, 629
52, 320, 309, 629
53, 320, 307, 627
54, 320, 305, 625
55, 320, 303, 623
56, 320, 301, 621
57, 317, 299, 616
58, 317, 298, 615
59, 317, 295, 612
60, 310, 295, 605
61, 310, 293, 603
62, 310, 290, 600
63, 306, 285, 591
64, 306, 285, 591
65, 306, 285, 591
66, 301, 281, 582
67, 301, 281, 582
68, 301, 281, 582
69, 290, 279, 569
70, 290, 279, 569
71, 290, 277, 567
72, 279, 273, 552
73, 279, 272, 551
74, 279, 270, 549
75, 267, 270, 537
76, 267, 270, 537
77, 267, 270, 537
78, 262, 266, 528
79, 262, 265, 527
80, 262, 264, 526
81, 259, 263, 522
82, 259, 262, 521
83, 259, 261, 520
84, 254, 259, 513
85, 254, 259, 513
86, 254, 259, 513
87, 247, 259, 506
88, 247, 259, 506
89, 247, 259, 506
90, 246, 259, 505
91, 246, 256, 502
92, 246, 255, 501
93, 242, 254, 496
94, 242, 253, 495
95, 242, 250, 492
96, 233, 248, 481
97, 233, 248, 481
98, 233, 246, 479
99, 217, 241, 458
100, 217, 241, 458
101, 217, 240, 457
102, 208, 239, 447
103, 208, 238, 446
104, 208, 238, 446
105, 202, 238, 440
106, 202, 238, 440
107, 202, 237, 439
108, 191, 237, 428
109, 191, 236, 427
110, 191, 236, 427
111, 183, 236, 419
112, 183, 236, 419
113, 183, 235, 418
114, 176, 234, 410
115, 176, 234, 410
116, 176, 234, 410
117, 166, 233, 399
118, 166, 233, 399
119, 166, 233, 399
120, 165, 230, 395
121, 165, 229, 394
122, 165, 228, 393
123, 150, 228, 378
124, 150, 227, 377
125, 150, 227, 377
126, 146, 226, 372
127, 146, 226, 372
128, 146, 226, 372
129, 139, 225, 364
130, 139, 225, 364
131, 139, 225, 364
132, 113, 224, 337
133, 113, 224, 337
134, 113, 224, 337
135, 108, 223, 331
136, 108, 223, 331
137, 108, 222, 330
138, 103, 222, 325
139, 103, 222, 325
140, 103, 222, 325
141, 102, 222, 324
142, 102, 222, 324
143, 102, 220, 322
144, 102, 220, 322
145, 102, 220, 322
146, 102, 220, 322
147, 102, 218, 320
148, 102, 218, 320
149, 102, 218, 320
150, 102, 217, 319
